"state_full","median_household_income","share_unemployed_seasonal","share_population_in_metro_areas","share_population_with_high_school_degree","share_non_citizen","share_white_poverty","gini_index","share_non_white","share_voters_voted_trump","hate_crimes_per_100k_splc","avg_hatecrimes_per_100k_fbi","state_abbrev","confederate","population","elasticity","FIP","Year","HFR","HFR_se","universl","permit","Fem_FS_S","Male_FS_S","BRFSS","GALLUP","GSS","PEW","HuntLic","GunsAmmo","BackChk","PewQChng","BS1","BS2","BS3","pk_count","Number.of.participating.agencies","pop_covered","Agencies.submitting.incident.reports","incidents","pk_percap","fbi_2019_per100k"
"Mississippi",35521,0.061,0.45,0.804,NA,0.14,0.468,0.44,0.58,0.067446801,0.622745989,"MS","Yes",2992333,0.92,28,2016,0.541,0.028,"No","No",0.594936709,0.726973684,-9,-9,0.449596891,0.689553417,0.337964941,-0.532068359,0.906146791,1,12,12,12,1,"42",882028,5,14,3.3418740494457e-07,1.58725119837465
"Missouri",56630,0.053,0.78,0.868,0.02,0.07,0.455,0.2,0.57,0.18452351,1.908954989,"MO","Yes",6083672,0.95,29,2016,0.528,0.028,"No","No",0.377777778,0.634994206,-9,-9,0.463926827,0.648585024,0.536197292,0.680884463,1.045620143,1,12,12,12,1,"571",6077911,28,83,1.64374410717738e-07,1.36560077960997
"Montana",51102,0.041,0.34,0.908,0.01,0.1,0.435,0.1,0.57,0.495491032,2.954959378,"MT","No",1032949,1.07,30,2016,0.65,0.032,"No","No",0.404255319,0.65,-9,-9,-9,0.734846304,0.90278916,2.492851491,1.849385639,1,12,12,12,0,"103",1055460,16,32,0,3.03185340988763
"Nebraska",56870,0.029,0.6,0.898,0.05,0.07,0.432,0.21,0.6,0.159489633,2.68624842,"NE","No",1896190,1.01,31,2016,0.392,0.028,"No","Yes",0.181818182,0.534653465,-9,-9,0.361210626,0.571778657,0.419125287,0.462942361,-1.558424755,1,12,12,12,3,"130",1813150,23,46,1.58211993523856e-06,2.53702120618813
"Nevada",49875,0.067,0.87,0.839,0.1,0.08,0.448,0.5,0.46,0.14167316,2.113990154,"NV","No",2890845,1.08,32,2016,0.329,0.028,"No","No",0.312883436,0.58110883,-9,-9,0.307189202,0.412131716,0.203245618,0.173193786,-0.695857934,1,12,12,12,0,"48",3070743,5,44,0,1.43287797122716
"New Hampshire",73397,0.034,0.63,0.913,0.03,0.06,0.425,0.09,0.47,0.151549595,2.105988585,"NH","No",1330608,1.15,33,2016,0.463,0.032,"No","No",0.245901639,0.590163934,-9,-9,-9,0.580019093,0.375266086,0.714007503,0.996926886,1,12,12,12,1,"188",1313554,14,16,7.51536139869894e-07,1.21806945127494
"New Jersey",65243,0.056,1,0.874,0.11,0.07,0.464,0.44,0.42,0.078305908,4.413202591,"NJ","No",8958013,1.01,34,2016,0.089,0.028,"No","Yes",0.063694268,0.313207547,-9,-9,0.117171402,0.182806756,0.178784759,-1.75654603,-1.627720109,1,12,12,12,1,"556",8638072,208,472,1.11631898725755e-07,5.46418228512103
"New Mexico",46686,0.068,0.69,0.828,0.06,0.1,0.464,0.62,0.4,0.294811321,1.886435184,"NM","No",2085109,1.02,35,2016,0.359,0.028,"No","No",0.355140187,0.563186813,-9,-9,0.296181823,0.4459972,0.319267721,0.168940452,0.394066595,1,12,12,12,1,"23",819112,6,50,4.79591234798756e-07,6.10417134653137
"New York",54310,0.051,0.94,0.847,0.1,0.1,0.499,0.42,0.37,0.350620446,3.102164284,"NY","No",19795791,0.97,36,2016,0.145,0.028,"Yes","Yes",0.092457421,0.356466877,-9,-9,0.162760397,0.262691659,0.227165948,-1.692359451,-1.477264259,1,12,12,12,5,"558",18949575,65,611,2.52578944685767e-07,3.2243467201771
"North Carolina",46784,0.058,0.76,0.843,0.05,0.1,0.464,0.38,0.51,0.244006588,1.262679796,"NC","Yes",10042802,0.98,37,2016,0.371,0.028,"No","Yes",0.389972145,0.639053254,-9,-9,0.299145749,0.544534929,0.181990217,-0.36080399,-1.214437724,1,12,12,12,3,"332",8740258,80,210,2.98721412609748e-07,2.40267506977483
"North Dakota",60730,0.028,0.5,0.901,0.03,0.09,0.433,0.15,0.64,NA,4.741069885,"ND","No",756927,0.98,38,2016,0.533,0.032,"No","No",0.333333333,0.584070796,-9,-9,-9,0.640037169,0.724354447,1.210103567,0.653152686,1,12,12,12,0,"109",762062,12,18,0,2.36201253966213
"Ohio",49644,0.045,0.75,0.876,0.03,0.1,0.452,0.21,0.52,0.190713964,3.240420404,"OH","No",11613423,1.02,39,2016,0.419,0.028,"No","No",0.320547945,0.602831595,-9,-9,0.383763615,0.534044862,0.292689941,0.342121688,0.051789163,1,12,12,12,3,"551",9730885,134,391,2.58321771281387e-07,4.01813401350442
"Oklahoma",47199,0.044,0.59,0.856,0.04,0.1,0.454,0.35,0.65,0.133629099,1.08167215,"OK","No",3911338,0.94,40,2016,0.549,0.028,"No","No",0.472049689,0.667170953,-9,-9,0.514439092,0.6872821,0.273669137,0.580999283,1.191355634,1,12,12,12,5,"438",3946211,22,28,1.27833493295645e-06,0.709541380326597
"Oregon",58875,0.062,0.87,0.891,0.07,0.1,0.449,0.26,0.41,0.832849608,3.394886113,"OR","No",4028977,1,41,2016,0.414,0.032,"Yes","No",0.310526316,0.609965636,-9,-9,-9,0.457074772,0.543547621,0.538412741,0.686441867,1,12,12,12,4,"204",4056079,46,175,9.92807851720176e-07,4.31451162563648
"Pennsylvania",55173,0.053,0.87,0.879,0.03,0.09,0.461,0.24,0.49,0.285101092,0.43092759,"PA","No",12802503,1,42,2016,0.402,0.028,"Yes","No",0.270022883,0.559686888,-9,-9,0.322193152,0.53924493,0.447366143,0.252925943,0.137824137,1,12,12,12,2,"1,424",12585495,15,41,1.56219451774391e-07,0.325771850848934
"Rhode Island",58633,0.054,1,0.847,0.08,0.08,0.467,0.28,0.4,0.095401641,1.282571834,"RI","No",1056298,1.15,44,2016,0.139,0.028,"Yes","Yes",0.125,0.329787234,-9,-9,0.183796508,0.249948395,0.084038345,-1.291072016,-1.177728395,1,12,12,12,0,"48",1058329,10,17,0,1.60630578959851
"South Carolina",44929,0.057,0.79,0.836,0.03,0.09,0.461,0.36,0.55,0.209894423,1.937082833,"SC","Yes",4896146,0.97,45,2016,0.45,0.028,"No","No",0.475490196,0.700490998,-9,-9,0.34764083,0.605040683,0.275578394,-0.47564981,-0.294674137,1,12,12,12,3,"405",5081688,36,68,6.12726826365063e-07,1.33813803602268
"South Dakota",53053,0.035,0.51,0.899,NA,0.08,0.442,0.17,0.62,NA,3.301737127,"SD","No",858469,1.01,46,2016,0.55,0.028,"No","No",0.361111111,0.559055118,-9,-9,0.512110947,0.669858961,0.571343419,0.99717408,1.831573714,1,12,12,12,0,"128",848738,13,20,0,2.35643979649786
"Tennessee",43716,0.057,0.82,0.831,0.04,0.13,0.468,0.27,0.61,0.19993848,3.13605115,"TN","Yes",6600299,0.98,47,2016,0.469,0.028,"No","No",0.43083004,0.65967366,-9,-9,0.380948483,0.600722073,0.334626655,0.001705592,0.805555501,1,12,12,12,2,"465",6830634,42,117,3.03016575461203e-07,1.71287174806907
"Texas",53875,0.042,0.92,0.799,0.11,0.08,0.469,0.56,0.53,0.213583938,0.752768305,"TX","Yes",27469114,1.03,48,2016,0.355,0.028,"No","No",0.430429129,0.61971313,-9,-9,0.337897736,0.425182054,0.234763821,-0.579943251,-0.415860044,1,12,12,12,11,"1,059",28885669,167,456,4.00449756042368e-07,1.57863748975314
"Utah",63383,0.036,0.82,0.904,0.04,0.08,0.419,0.19,0.47,0.136546733,2.384065044,"UT","No",2995919,1.06,49,2016,0.397,0.028,"No","No",0.294117647,0.565310493,-9,-9,0.336430601,0.561900052,0.338414036,-0.458817568,-0.75390678,1,12,12,12,1,"121",3077345,14,18,3.33787395453615e-07,0.584919792873402
"Vermont",60708,0.037,0.35,0.91,0.01,0.1,0.444,0.06,0.33,0.324149109,1.90308139,"VT","No",626042,1.12,50,2016,0.503,0.028,"No","No",0.12,0.709677419,-9,-9,0.402137579,0.663678954,0.511055219,0.894838455,0.135353488,1,12,12,12,0,"89",628664,17,33,0,5.24922693203365
"Virginia",66155,0.043,0.89,0.866,0.06,0.07,0.459,0.38,0.45,0.363248898,1.724754584,"VA","Yes",8382993,0.94,51,2016,0.353,0.028,"No","No",0.368421053,0.642451759,-9,-9,0.298906675,0.410877471,0.308196003,-0.168454987,0.078307894,1,12,12,12,3,"415",8533624,57,163,3.57867410840019e-07,1.91009118751893
"Washington",59068,0.052,0.86,0.897,0.08,0.09,0.441,0.31,0.38,0.67748765,3.817740296,"WA","No",7170351,1,53,2016,0.321,0.028,"Yes","No",0.232931727,0.512331839,-9,-9,0.265882576,0.435863695,0.302174518,0.010757407,0.060602054,1,12,12,12,2,"253",7587677,77,542,2.78926373339325e-07,7.14316120731022
"West Virginia",39552,0.073,0.55,0.828,0.01,0.14,0.451,0.07,0.69,0.328677075,2.037053631,"WV","No",1844128,1.04,54,2016,0.6,0.028,"No","No",0.475609756,0.710714286,-9,-9,0.481850827,0.732214817,0.560737982,1.074304395,2.075071981,1,12,12,12,1,"240",1574978,18,31,5.4226170851481e-07,1.96828146170931
"Wisconsin",58080,0.043,0.69,0.898,0.03,0.09,0.43,0.22,0.48,0.226197105,1.121944651,"WI","No",5771337,1.07,55,2016,0.471,0.028,"No","No",0.229946524,0.606774669,-9,-9,0.413851708,0.57943665,0.695162831,0.248138178,0.119025591,1,12,12,12,1,"437",5810699,43,74,1.73270075894026e-07,1.2735128768501
"Wyoming",55690,0.04,0.31,0.918,0.02,0.09,0.423,0.15,0.7,NA,0.26694076,"WY","No",586107,1.08,56,2016,0.607,0.032,"No","No",0.375,0.669642857,-9,-9,-9,0.725993231,0.538438852,2.899840191,1.26580728,1,12,12,12,0,"55",512713,5,5,0,0.975204451613281
